year,month,price,mileage,car_type,brand
2016,1,80000,21.1,Pickup,Tesla
2016,1,120000,28.4,Sedan,Audi
2016,1,18000,33.8,Pickup,Toyota
2016,1,25000,31.5,Convertible,Mazda
2016,1,55000,32.4,Sedan,Honda
2016,1,18000,29.6,Coupe,BMW
2016,1,35000,40.2,Convertible,Mazda
2016,1,65000,47.9,SUV,Honda
2016,1,32000,34.2,Pickup,Chevrolet
2016,1,80000,17.5,SUV,Mercedes
2016,1,20000,45.8,Convertible,Ford
2016,1,70000,40.9,Coupe,Mercedes
2016,1,22000,24.6,Hatchback,Toyota
2016,1,65000,27.9,SUV,BMW
2016,1,38000,28.1,Pickup,Chevrolet
2016,1,60000,34.3,Convertible,Honda
2016,1,22000,38.4,SUV,Nissan
2016,1,32000,43.4,Sedan,Nissan
2016,1,50000,22.8,Hatchback,BMW
2016,1,38000,31.4,SUV,Kia
2016,1,15000,36.6,Sedan,Chevrolet
2016,1,45000,33.4,Pickup,Subaru
2016,1,20000,44.6,SUV,Ford
2016,1,48000,39.1,SUV,Toyota
2016,1,45000,28.2,SUV,Subaru
2016,1,90000,25.0,SUV,Tesla
2016,1,80000,30.8,Sedan,Audi
2016,1,25000,16.2,SUV,Kia
2016,1,18000,25.5,SUV,Honda
2016,1,60000,49.8,Convertible,Toyota
2016,1,38000,35.8,SUV,Nissan
2016,1,48000,34.0,Coupe,BMW
2016,1,65000,18.3,Hatchback,Audi
2016,1,65000,20.7,Hatchback,Honda
2016,1,65000,35.7,Coupe,Audi
2016,1,28000,23.1,Sedan,Hyundai
2016,1,32000,21.3,Pickup,Toyota
2016,1,38000,48.7,SUV,Hyundai
2016,1,28000,42.8,SUV,Hyundai
2016,1,15000,31.7,Sedan,Nissan
2016,1,35000,21.6,SUV,Ford
2016,1,35000,25.7,Hatchback,Ford
2016,1,55000,34.8,Sedan,Honda
2016,1,40000,40.4,Sedan,Nissan
2016,1,75000,40.6,Convertible,Tesla
2016,1,48000,24.4,Hatchback,Honda
2016,1,38000,49.2,Sedan,Hyundai
2016,1,90000,42.2,SUV,Mercedes
2016,1,48000,49.4,Pickup,BMW
2016,1,65000,40.8,SUV,BMW
2016,1,45000,38.1,SUV,Honda
2016,1,55000,33.2,Sedan,BMW
2016,1,120000,20.3,Convertible,Mercedes
2016,1,55000,42.1,SUV,Toyota
2016,1,65000,24.9,Coupe,Audi
2016,1,32000,17.3,Convertible,BMW
2016,1,28000,18.2,Coupe,Hyundai
2016,1,42000,49.4,SUV,Honda
2016,1,55000,41.6,Sedan,Toyota
2016,1,25000,27.9,SUV,Kia
2016,1,38000,15.8,Sedan,Toyota
2016,1,120000,35.7,Coupe,Audi
2016,1,42000,37.9,Coupe,Toyota
2016,1,18000,23.8,SUV,Toyota
2016,1,22000,16.1,Sedan,Nissan
2016,1,50000,24.4,Convertible,Toyota
2016,1,40000,49.3,SUV,Kia
2016,1,48000,34.7,SUV,Subaru
2016,1,100000,36.3,Sedan,BMW
2016,1,55000,46.2,Pickup,Honda
2016,1,25000,27.2,Pickup,Chevrolet
2016,1,32000,26.8,Hatchback,Chevrolet
2016,1,120000,47.4,Pickup,Audi
2016,1,75000,40.8,SUV,BMW
